MTI(4단위),품목(4단위),번역(4단위)
111,곡류,cereal crops
112,서류,grain
113,두류,beans
114,곡분,grain powder
115,채유종실,oil-producing chamber
116,과실류,fruits
125,견과류,Nuts
131,식물성유지,vegetable oil
132,유지 가공품,oil and fat products
135,박류,gourd
136,사료,feedstuff
143,소스류,sauces
151,커피류,Coffee
152,초코렛 및 코코아조제품,Chocolate and cocoa products
157,주류,alcoholic liquors
158,당류,sugar stream
159,음료,Beverage
161,사탕 또는 과자류,sweets or confectionery
169,농산가공품,agricultural products
170,종자류,Seeds
191,천연섬유원료,natural fiber raw material
221,가축육류,livestock meat
229,육류,meats
231,동물성유지,animal oil
241,육류가공품,meat-processed goods
242,꿀 및 로얄제리,Honey and royal jelly
243,낙농품,dairy products
245,단백질류,Proteins
250,모류,animal hair
311,원목,solid wood
419,어류,Fish
470,수산부산물,fishery by-products
1111,금,gold
1120,철광,iron mine
1130,동광,copper mine
1140,알루미늄광,aluminum ore
1160,아연광,zinc ore
1190,금속광물,metallic mineral
1220,소금,Salt
1290,비금속광물,nonmetallic mineral
1310,원유,crude oil
1321,무연탄,anthracite coal
1322,유연탄,bituminous coal
1334,나프타,naphtha
1336,윤활유,Lubricating oil
1340,천연가스,natural gas
1350,LPG,LPG
2110,기초유분,basic oil
2140,합성수지,synthetic resin
2212,안료,pigment
2230,접착제,Glue
2262,의약품,Medication
2273,화장품,Cosmetics
2282,암모니아수,ammonia water
2289,기밀화학원료,air-tight chemical raw material
2290,정밀화학제품,precision chemical products
2512,고지,unbleached kraft paper
2522,인쇄용지,printing paper
2525,크라프트지,Kraft paper
2527,골판지원지,corrugated paper
2529,종이제품,paper products
2900,화학공업제품,chemical industrial products
3109,플라스틱제품,Plastic products
4412,직물제의류,textile clothing
4490,섬유제품,textile products
5116,위생용품,sanitary products
5253,유리공예품,glasswork
6172,주철,cast iron
6184,고철,scrap metal
6211,알루미늄괴 및 스크랩,Aluminum ingots and scraps
6212,알루미늄조가공품,Aluminum manufactured goods
6221,동괴 및 스크랩,Copper and scrap
6231,니켈괴 및 스크랩,Nickel Bulk and Scrap
6232,니켈조가공품,nickel fabricated goods
6251,연괴 및 스크랩,Kneading and Scrap
6252,연조가공품,soft goods
6261,아연괴 및 스크랩,Zinc clots and scraps
6290,비철금속제품,nonferrous metal products
7112,펌프,Pumping
7216,화학기계,chemical machinery
7231,금속절삭가공기계,Metal cutting machine
7251,건설중장비,Construction heavy equipment
7290,산업기계,industrial machinery
7331,의료용기기,medical equipment
7332,의료용기기부품,Medical equipment components
7411,승용차,Car
7420,자동차 부품,automobile parts
7442,철도차량부품,Railway vehicle parts
7901,기계류,Machinery
7902,기계류부품,Machine parts
8131,컴퓨터,Computer
8132,보조기억장치,Supplementary storage
8147,의료용전자기기,medical electronics
8151,계측기,Measuring instrument
8156,분석시험기부품,Analysis tester parts
8226,마이크 및 헤드폰,Microphone and headphones
8259,난방 및 전열기기,heating equipment
9701,무기류,Weapons
9702,무기류 부품,weapon parts
