,date,title,link
0,2022年7月27日,インド太平洋経済枠組み（IPEF）閣僚級会合が開催されました,https://www.meti.go.jp//press/2022/07/20220727005/20220727005.html
1,2022年7月25日,萩生田経済産業大臣がエマニュエル駐日米国大使の表敬を受けました,https://www.meti.go.jp//press/2022/07/20220725005/20220725005.html
2,2022年7月25日,萩生田経済産業大臣がインドネシア・アイルランガ経済担当調整大臣及びアグス工業大臣と会談しました,https://www.meti.go.jp//press/2022/07/20220725004/20220725004.html
3,2022年7月22日,第1回「日ASEAN経済共創ビジョン策定のための検討委員会」を開催しました,https://www.meti.go.jp//press/2022/07/20220722002/20220722002.html
4,2022年7月21日,萩生田経済産業大臣がサプライチェーン閣僚会合に出席しました,https://www.meti.go.jp//press/2022/07/20220721004/20220721004.html
5,2022年7月15日,萩生田経済産業大臣がタイ・アネーク高等教育・科学・研究・イノベーション大臣と会談を行いました,https://www.meti.go.jp//press/2022/07/20220715002/20220715002.html
6,2022年7月15日,インド工科大学ハイデラバード校における企業説明会「JAPAN DAY 2022」を開催します,https://www.meti.go.jp//press/2022/07/20220715004/20220715004.html
7,2022年7月7日,萩生田経済産業大臣がカナダ・シャンパーニュ革新・科学・産業大臣と会談を行いました,https://www.meti.go.jp//press/2022/07/20220707001/20220707001.html
8,2022年7月5日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置を実施します,https://www.meti.go.jp//press/2022/07/20220705005/20220705005.html
9,2022年7月5日,「EPA活用推進会議」を新たに設置します,https://www.meti.go.jp//press/2022/07/20220705004/20220705004.html
10,2022年6月30日,インド高速鉄道に関する第14回合同委員会が開催されました,https://www.meti.go.jp//press/2022/06/20220630003/20220630003.html
11,2022年6月29日,細田経済産業副大臣がインドネシア・アグス工業大臣と会談しました,https://www.meti.go.jp//press/2022/06/20220629001/20220629001.html
12,2022年6月28日,「令和４年版通商白書」を取りまとめました,https://www.meti.go.jp//press/2022/06/20220628004/20220628004.html
13,2022年6月27日,不公正貿易報告書、経済産業省の取組方針及びWTO上級委員会の機能停止下の政策対応研究会・中間報告書を取りまとめました,https://www.meti.go.jp//press/2022/06/20220627001/20220627001.html
14,2022年6月23日,TICAD8プレビューイベント「アフリカビジネスの新潮流～多様なアプローチと成功の鍵～」を開催しました,https://www.meti.go.jp//press/2022/06/20220623008/20220623008.html
15,2022年6月23日,岩田経済産業大臣政務官がアゼルバイジャン・アミルバヨフ第一副大統領補佐官の表敬を受けました,https://www.meti.go.jp//press/2022/06/20220623006/20220623006.html
16,2022年6月23日,「第13回クリティカルマテリアル・ミネラル会合」を開催しました,https://www.meti.go.jp//press/2022/06/20220623003/20220623003.html
17,2022年6月17日,細田経済産業副大臣がスイス連邦へ出張しました（第12回WTO閣僚会議）,https://www.meti.go.jp//press/2022/06/20220617004/20220617004.html
18,2022年6月17日,「最低税率課税制度及び外国子会社合算税制のあり方に関する研究会」を設置します,https://www.meti.go.jp//press/2022/06/20220617001/20220617001.html
19,2022年6月14日,「貿易保険法施行令の一部を改正する政令」及び「貿易保険法の一部を改正する法律の施行期日を定める政令」が閣議決定されました,https://www.meti.go.jp//press/2022/06/20220614001/20220614001.html
20,2022年6月13日,インド太平洋経済枠組み(IPEF)の貿易分野に関する非公式閣僚級会合が開催されました,https://www.meti.go.jp//press/2022/06/20220613005/20220613005.html
21,2022年6月13日,WTO電子商取引交渉の共同議長国閣僚声明を発表しました,https://www.meti.go.jp//press/2022/06/20220612001/20220612001.html
22,2022年6月13日,広瀬経済産業審議官が2022年OECD閣僚理事会に参加しました,https://www.meti.go.jp//press/2022/06/20220613003/20220613003.html
23,2022年6月10日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置を実施します（輸出貿易管理令の一部を改正）,https://www.meti.go.jp//press/2022/06/20220610004/20220610004.html
24,2022年6月8日,TICAD8プレビューイベント「アフリカビジネスの新潮流　～多様なアプローチ手法と成功の鍵～」,https://www.meti.go.jp//press/2022/06/20220608003/20220608003.html
25,2022年6月7日,ウクライナ情勢に関する外国為替及び外国貿易法に基づく措置を実施します,https://www.meti.go.jp//press/2022/06/20220607005/20220607005.html
26,2022年6月2日,萩生田経済産業大臣はサリバン米国上院議員の表敬を受けました,https://www.meti.go.jp//press/2022/06/20220602004/20220602004.html
27,2022年6月2日,デジタル時代のグローバルサプライチェーン高度化研究会（第1回）を開催しました,https://www.meti.go.jp//press/2022/06/20220602003/20220602003.html
28,2022年6月1日,細田副大臣と英国グリムストーン閣外大臣（投資担当）が会談を行いました,https://www.meti.go.jp//press/2022/06/20220601003/20220601003.html
29,2022年5月30日,細田副大臣がG７気候・エネルギー・環境大臣会合に出席しました,https://www.meti.go.jp//press/2022/05/20220530005/20220530005.html
30,2022年5月30日,「日ASEAN経済共創ビジョン策定プロジェクト」を立ち上げます,https://www.meti.go.jp//press/2022/05/20220530004/20220530004.html
31,2022年5月30日,岩田経済産業大臣政務官が第54回日韓経済人会議に出席しました,https://www.meti.go.jp//press/2022/05/20220530003/20220530003.html
32,2022年5月27日,J-Bridge米国デジタル分野ローンチウェビナーを開催します,https://www.meti.go.jp//press/2022/05/20220527008/20220527008.html
33,2022年5月27日,萩生田経済産業大臣がベトナムのファム・ビン・ミン筆頭副首相と会談を行いました,https://www.meti.go.jp//press/2022/05/20220527005/20220527005.html
34,2022年5月27日,経済産業省とシンガポール貿易産業省との間で官民対話を立ち上げました,https://www.meti.go.jp//press/2022/05/20220526001/20220526001.html
35,2022年5月25日,萩生田経済産業大臣がシンガポールのタン・シーレン第二貿易産業大臣兼人材開発大臣と会談を行いました,https://www.meti.go.jp//press/2022/05/20220525003/20220525003.html
36,2022年5月24日,萩生田経済産業大臣がマレーシア・アズミン上級大臣兼国際貿易産業大臣と会談しました,https://www.meti.go.jp//press/2022/05/20220524003/20220524003.html
37,2022年5月23日,「インド太平洋経済枠組み」の立上げについて,https://www.meti.go.jp//press/2022/05/20220523003/20220523003.html
38,2022年5月23日,萩生田経済産業大臣がレモンド米国商務長官と会談を行いました,https://www.meti.go.jp//press/2022/05/20220523002/20220523002.html
